pop|Chciałbym powiedzieć ci
pop|Opisać cały ból
pop|Przypomnieć wielkość chwil
pop|Używać małych słów
pop|Z każdym paznokciem twój
pop|przywoływałem śmiech
pop|Nie mogłem krzyczeć już
pop|Omdlenie darem jest
pop|Szarość tak dumnie brzmi
pop|Warta każdego dnia
pop|By stanąć obok nich
pop|Ratować ulic gwar
pop|Dobrze pamiętam plan
pop|Choć tak odległy jest
pop|Czy to że sił mi brak
pop|Zwiastuje koniec nas?
pop|Nie martw się proszę
pop|Wszystko skończy się
pop|Prędzej i mocniej
pop|Odwaga zabija mnie
pop|Nic się nie stało
pop|Przeciez dobrze wiesz
pop|Oddałem wszystko
pop|Żeby wszystko mieć
pop|Nie martw się proszę
pop|Wszystko skończy się
pop|Prędzej i mocniej
pop|Odwaga zabija mnie
pop|Nic się nie stało
pop|Przeciez dobrze wiesz
pop|Oddałem wszystko
pop|Żeby wszystko mieć
pop|Małomiasteczkowa twarz
pop|Małomiasteczkowa głowa
pop|Małomiasteczkowy styl
pop|Małomiasteczkowo kocham
pop|Z małego miasta wielkie sny
pop|Atakują twoje ulice
pop|Wyśniłem sobie ciebie, gdy
pop|Śpiewałem głośno pod prysznicem
pop|Ten mój małomiasteczkowy hit
pop|I małomiasteczkowe słowa
pop|Ten małomiasteczkowy rytm
pop|Melodia małomiasteczkowa
pop|Z małego miasta wielkie sny
pop|Gromadzą się na twoich ulicach
pop|Pamiętam, bardzo chciałem tu być
pop|Na pewno dużo bardziej niż dzisiaj
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie
pop|Przez chwilę czułem się jak Bóg
pop|Przez chwilę byłem królem w mieście
pop|Wybrałem na siłownię strój
pop|I wtedy zrozumiałem wreszcie
pop|Że z mojego miasta moje sny
pop|Budują twoje ulice
pop|Że ciebie nie zachwyca tu nic
pop|Ale smuci mnie, że nadal nie krzyczę
pop|Gdy wielkomiejski piękny świat
pop|Na każdym kroku sypie kreski
pop|Uściski i klepnięcia w bark
pop|Płynące ze wzruszenia łezki
pop|Dlaczego wszystko sztuczne aż tak
pop|Że napromieniowane mi świeci
pop|Trzeba stąd wyjechać, bo strach
pop|Że wszystko przejdzie na moje dzieci
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie
pop|Znowu jadę do ciebie sam
pop|Znowu jadę do ciebie...
pop|Rozmawia się całkiem nieźle
pop|I podoba nam dotychczas każdy obejrzany film.
pop|Problem jest na pewno we mnie,
pop|Nie doszukuj się go w sobie,
pop|W tobie wszystko jest okay.
pop|Może dasz się znać po tym,
pop|Weź mnie znajdź potem,
pop|Dziś nie chcę popłynąć, bo…
pop|Mogę złapać cię za rękę.
pop|Jeśli chcesz, wyrzucę każdy przeterminowany sos.
pop|A to śmieszne,
pop|Nie rozumiem ciebie jeszcze.
pop|Pani mama chciała, żebym więcej niż liceum miał.
pop|Ale daj się znać po tym,
pop|Gdzieś mnie znajdź potem.
pop|Dziś nie chcę popłynąć, bo...
pop|Chciałbym ciebie słuchać więcej,
pop|Tylko skoczę w jedno miejsce,
pop|Potem może znajdę czas.
pop|Spotykałem cię codziennie,
pop|Ale teraz, kiedy muszę,
pop|Chętniej udałbym się spać.
pop|Proszę daj się znać po tym,
pop|Gdzieś mnie znajdź potem,
pop|Dziś nie popłyniemy, bo...
pop|Kwas i dreszcze już na samą myśl
pop|Bo mam przeczucie, że to koniec
pop|Przyszłaś na czas
pop|Nie będzie gwiezdnych wojen
pop|Dobrze wiem, co myślisz sobie
pop|Znowu będzie miło, bo tak już masz
pop|Dokończ, nie skończyłaś, no pij do dna
pop|Ja się wstrzymam, jakoś mi cierpi krtań
pop|Nie płacz po niej
pop|Zawodzę jak miastowa młodzież
pop|Hej, no może coś powiesz?
pop|Czekaj, widzę prognozę
pop|Przewidują zgodę
pop|Marudzę jak miastowa młodzież
pop|Nie, to nie ta odpowiedź
pop|Dlaczego mi zmieniasz pogodę?
pop|Pozostaje odejść
pop|Fakt, że całkiem to przyjemne, gdy
pop|Gniew odbiera mi kulturę
pop|Od kilku dni tak bardzo denerwujesz
pop|Przejdzie mi, ale zdążę jeszcze
pop|Wcisnąć komu trzeba największy kit, że
pop|Wstałem, nie chcę od niej kompletnie nic
pop|Patrzę sobie na twój najnowszy klip
pop|Zawodzę jak miastowa młodzież
pop|Hej, no może coś powiesz?
pop|Czekaj, widzę prognozę
pop|Przewidują zgodę
pop|Marudzę jak miastowa młodzież
pop|Nie, to nie ta odpowiedź
pop|Dlaczego mi zmieniasz pogodę?
pop|Pozostaje odejść
pop|Zawodzę jak miastowa młodzież
pop|Hej, no może coś powiesz?
pop|Czekaj, widzę prognozę
pop|Przewidują zgodę
pop|Marudzę jak miastowa młodzież
pop|Nie, to nie ta odpowiedź
pop|Dlaczego mi zmieniasz pogodę?
pop|Pozostaje odejść
pop|Witaj, nieznajomy
pop|Pytanie do ciebie mam
pop|Czy zdążę jeszcze wrócić?
pop|Drogi dawno już zasypał czas
pop|Za oknem cisza najcichsza, jaką znam
pop|Taka przed burzą, co zrywa dach
pop|Witaj, nieznajomy
pop|Nawet nie wiem jak na imię masz
pop|Patrzę na ciebie i myślę
pop|Czy to ja za kilka lat?
pop|Za oknem szarość wchodzi w czerń
pop|Ty wciąż nie mówisz do mnie nic
pop|Na tym pustkowiu mieszka śmierć
pop|Czy to tylko część mojego snu, powiedz mi
pop|Ściany się burzą, szyby pękają naraz
pop|Lecę w dół przez błędy wszystkich lat
pop|Widzę wyraźnie pełne rozczarowań twarze
pop|A w oczach ból i gniew uśpionych zdarzeń
pop|Kłamałem więcej niż kiedykolwiek chciałbym przyznać
pop|A w moich żyłach płynęła krew zimniejsza niż stal
pop|Dlatego dzisiaj jestem całkiem sam
pop|Mój nieznajomy, czy widzisz to co ja?
pop|Jak to możliwe, że ktokolwiek ufał mi?
pop|Pozornie szczery, lecz nigdy tak jak dziś
pop|To samo miejsce, ten sam zmęczony strach
pop|Wśród tłumu ludzi odbijam się od dna
pop|Żegnaj, nieznajomy
pop|Już nie chcę twoich rad
pop|Wpatrzony w białe snopy światła
pop|Późną nocą pod prąd,
pop|Bo jeśli to ostatni rejs, ta
pop|Mijam ostatni promień słońca,
pop|Wiesz, że tak bardzo lubię dzień
pop|Gdy ciebie nie ma, tracę sens
pop|Proszę, dowiedz się
pop|Czemu jest mi tutaj aż tak źle
pop|Krzywdzisz mnie już mniej,
pop|Nocą łatwiej mi to przyznać jest
pop|Wpatrzony w mijające auta
pop|Tempomaty, pasy, bieg historii
pop|Zasępionych głów, ta
pop|Czy ktoś zapamięta mnie
pop|Jeśli dzisiaj zniknę
pop|Odnajdę swój pas, tempomat, bieg
pop|Proszę, dowiedz się
pop|Czemu jest mi tutaj aż tak źle
pop|Krzywdzisz mnie już mniej
pop|Nocą łatwiej mi to przyznać jest
pop|Proszę, dowiedz się
pop|Czemu jest mi tutaj aż tak źle
pop|Krzywdzisz mnie już mniej
pop|Nocą łatwiej mi to przyznać jest
pop|Proszę, dowiedz się
pop|Czemu jest mi tutaj aż tak źle
pop|Krzywdzisz mnie już mniej
pop|Nocą łatwiej mi to przyznać jest
pop|Czemu jest mi tu źle?
pop|Czemu jest mi tu źle?
pop|muza muzą a w pokoju sam
pop|moim kumplem nieustanny stres
pop|na odbite palmy przyszedł czas
pop|mam sodowej wody pełny zlew
pop|nie robię zdjęcia, nie podpiszę Tobie płyt
pop|nie mogę zmieścić historii waszych żyć
pop|gdy pojadę windą będę śledził ślady stóp
pop|słowem uznania wytrę lewy kącik ust
pop|skrzynka pełna, nie wysyłaj nic
pop|powoli tracę głos
pop|jeszcze kilka przyjemnych płyt
pop|wyjadę w końcu stąd
pop|staję się potworem, bo wtedy czuję, że
pop|choć jestem tak naprawdę nie ma mnie
pop|to dzięki temu mogę na stary rower wsiąść
pop|zamieszkać w kamienicy, nie myć rąk
pop|codziennie słyszę: znów coś wygrałeś
pop|zaraz braknie miejsca na kolejny diament
pop|(tak psujesz mnie, psujesz mnie)
pop|anonimu smak poczuję gdy
pop|za granicę zrobię drobny skok
pop|jakoś dziwnie tęskno wtedy mi
pop|kiedy przezroczysty stawiam krok
pop|w kraju nad Wisłą
pop|każdy mówi mi na Ty
pop|a moje nazwisko
pop|to czytany głośno szyld
pop|skrzynka pełna, nie wysyłaj nic
pop|powoli tracę głos
pop|jeszcze kilka przyjemnych płyt
pop|wyjadę w końcu stąd
pop|staję się potworem, bo wtedy czuję, że
pop|choć jestem tak na prawdę, nie ma mnie
